iter	Passed	Remaining
887	9556	44251
888	9567	44244
889	9576	44223
890	9586	44208
891	9597	44199
892	9608	44188
893	9619	44180
894	9628	44162
895	9639	44150
896	9650	44140
897	9661	44134
898	9674	44131
899	9683	44114
900	9695	44108
901	9705	44092
902	9714	44075
903	9724	44063
904	9734	44048
905	9746	44041
906	9759	44039
907	9770	44029
908	9780	44018
909	9791	44007
910	9802	43996
911	9811	43979
912	9821	43965
913	9832	43955
914	9844	43948
915	9855	43940
916	9865	43924
917	9876	43915
918	9887	43909
919	9899	43902
920	9910	43892
921	9919	43872
922	9930	43862
923	9941	43854
924	9952	43842
925	9962	43829
926	9972	43817
927	9983	43807
928	9993	43791
929	10003	43779
930	10015	43774
931	10026	43764
932	10036	43747
933	10046	43734
934	10057	43725
935	10068	43714
936	10080	43708
937	10093	43709
938	10103	43697
939	10115	43688
940	10124	43671
941	10136	43664
942	10145	43650
943	10155	43633
944	10165	43621
945	10177	43614
946	10186	43598
947	10195	43577
948	10205	43564
949	10213	43540
950	10224	43531
951	10237	43531
952	10248	43520
953	10258	43507
954	10269	43498
955	10280	43485
956	10290	43472
957	10299	43457
958	10309	43442
959	10318	43422
960	10327	43407
961	10339	43400
962	10353	43402
963	10363	43390
964	10375	43384
965	10386	43374
966	10395	43353
967	10405	43341
968	10412	43316
969	10423	43306
970	10429	43273
971	10440	43264
972	10450	43253
973	10461	43241
974	10472	43233
975	10485	43229
976	10497	43224
977	10507	43210
978	10517	43198
979	10526	43179
980	10535	43161
981	10545	43147
982	10556	43138
983	10563	43114
984	10572	43095
985	10582	43080
986	10592	43068
987	10605	43066
988	10615	43052
989	10625	43037
990	10636	43029
991	10646	43015
992	10657	43005
993	10667	42990
994	10676	42975
995	10686	42961
996	10700	42961
997	10710	42949
998	10720	42936
999	10733	42934
1000	10744	42924
1001	10756	42919
1002	10769	42916
1003	10783	42918
1004	10795	42915
1005	10806	42902
1006	10816	42890
1007	10828	42883
1008	10839	42874
1009	10850	42865
1010	10859	42848
1011	10869	42833
1012	10882	42830
1013	10894	42824
1014	10905	42817
1015	10917	42811
1016	10926	42794
1017	10937	42783
1018	10948	42774
1019	10959	42761
1020	10969	42751
1021	10979	42738
1022	10990	42727
1023	11001	42717
1024	11012	42707
1025	11025	42703
1026	11035	42690
1027	11046	42680
1028	11057	42672
1029	11069	42665
1030	11079	42653
1031	11092	42648
1032	11105	42647
1033	11115	42632
1034	11124	42616
1035	11135	42607
1036	11145	42593
1037	11156	42582
1038	11166	42569
1039	11177	42561
1040	11188	42550
1041	11197	42533
1042	11207	42518
1043	11217	42505
1044	11228	42496
1045	11239	42486
1046	11249	42473
1047	11262	42469
1048	11271	42454
1049	11283	42446
1050	11294	42438
1051	11304	42422
1052	11314	42408
1053	11324	42398
1054	11335	42387
1055	11347	42380
1056	11358	42369
1057	11369	42360
1058	11380	42350
1059	11390	42338
1060	11399	42322
1061	11409	42309
1062	11422	42305
1063	11432	42292
1064	11442	42279
1065	11453	42268
1066	11463	42255
1067	11473	42243
1068	11484	42230
1069	11494	42216
1070	11507	42214
1071	11518	42204
1072	11524	42177
1073	11534	42166
1074	11545	42154
1075	11557	42147
1076	11566	42131
1077	11574	42112
1078	11587	42107
1079	11598	42099
1080	11608	42086
1081	11618	42072
1082	11629	42062
1083	11640	42051
1084	11650	42038
1085	11661	42029
1086	11673	42020
1087	11681	42001
1088	11693	41996
1089	11703	41983
1090	11713	41967
1091	11723	41957
1092	11734	41945
1093	11743	41928
1094	11755	41921
1095	11765	41907
1096	11775	41896
1097	11786	41886
1098	11797	41875
1099	11806	41860
1100	11818	41852
1101	11827	41837
1102	11837	41821
1103	11847	41810
1104	11859	41803
1105	11870	41793
1106	11880	41781
1107	11892	41774
1108	11904	41766
1109	11914	41753
1110	11924	41739
1111	11934	41726
1112	11942	41707
1113	11952	41695
1114	11962	41681
1115	11974	41674
1116	11984	41660
1117	11995	41651
1118	12005	41637
1119	12014	41621
1120	12024	41608
1121	12036	41601
1122	12044	41582
1123	12054	41569
1124	12065	41560
1125	12078	41555
1126	12084	41530
1127	12096	41521
1128	12105	41505
1129	12114	41489
1130	12123	41474
1131	12133	41460
1132	12144	41450
1133	12153	41434
1134	12163	41421
1135	12176	41416
1136	12186	41402
1137	12196	41391
1138	12208	41385
1139	12219	41376
1140	12232	41371
1141	12243	41363
1142	12252	41346
1143	12265	41341
1144	12277	41334
1145	12286	41320
1146	12297	41308
1147	12307	41297
1148	12319	41289
1149	12330	41279
1150	12341	41271
1151	12352	41262
1152	12362	41248
1153	12372	41233
1154	12383	41225
1155	12394	41214
1156	12406	41207
1157	12416	41194
1158	12427	41184
1159	12438	41176
1160	12448	41164
1161	12459	41152
1162	12470	41144
1163	12481	41132
1164	12488	41111
1165	12499	41101
1166	12508	41084
1167	12516	41065
1168	12528	41056
1169	12538	41046
1170	12550	41038
1171	12561	41028
1172	12571	41016
1173	12581	41001
1174	12589	40983
1175	12600	40971
1176	12610	40961
1177	12622	40952
1178	12633	40944
1179	12644	40933
1180	12657	40929
1181	12669	40923
1182	12680	40913
1183	12692	40906
1184	12701	40890
1185	12713	40883
1186	12723	40873
1187	12735	40866
1188	12745	40852
1189	12756	40840
1190	12768	40836
1191	12780	40827
1192	12790	40814
1193	12800	40802
1194	12810	40791
1195	12822	40783
1196	12834	40776
1197	12843	40760
1198	12854	40749
1199	12866	40745
1200	12875	40726
1201	12884	40712
1202	12895	40701
1203	12904	40685
1204	12912	40667
1205	12923	40658
1206	12933	40644
1207	12944	40633
1208	12954	40620
1209	12964	40608
1210	12971	40584
1211	12982	40574
1212	12992	40561
1213	13002	40548
1214	13010	40531
1215	13022	40522
1216	13031	40507
1217	13040	40492
1218	13053	40488
1219	13068	40490
1220	13080	40484
1221	13092	40475
1222	13103	40467
1223	13116	40463
1224	13126	40451
1225	13140	40450
1226	13154	40449
1227	13167	40446
1228	13180	40441
1229	13191	40432
1230	13202	40422
1231	13216	40422
1232	13229	40419
1233	13242	40412
1234	13254	40406
1235	13263	40391
1236	13275	40385
1237	13288	40380
1238	13299	40371
1239	13310	40361
1240	13323	40356
1241	13336	40353
1242	13349	40350
1243	13361	40342
1244	13374	40337
1245	13386	40331
1246	13396	40319
1247	13407	40309
1248	13420	40305
1249	13433	40300
1250	13445	40294
1251	13457	40286
1252	13468	40277
1253	13480	40268
1254	13490	40255
1255	13501	40246
1256	13512	40235
1257	13526	40236
1258	13543	40242
1259	13553	40231
1260	13565	40223
1261	13576	40212
1262	13589	40208
1263	13602	40204
1264	13612	40193
1265	13623	40182
1266	13633	40170
1267	13644	40159
1268	13654	40145
1269	13667	40142
1270	13678	40132
1271	13692	40128
1272	13706	40129
1273	13718	40122
1274	13732	40120
1275	13745	40114
1276	13756	40105
1277	13768	40098
1278	13780	40091
1279	13793	40086
1280	13807	40085
1281	13820	40080
1282	13832	40074
1283	13845	40070
1284	13859	40068
1285	13870	40058
1286	13881	40048
1287	13891	40034
1288	13900	40019
1289	13911	40010
1290	13923	40001
1291	13936	39997
1292	13949	39993
1293	13962	39989
1294	13974	39981
1295	13986	39973
1296	13998	39964
1297	14007	39949
1298	14018	39940
1299	14027	39924
1300	14039	39917
1301	14049	39904
1302	14060	39893
1303	14070	39882
1304	14081	39870
1305	14093	39862
1306	14104	39853
1307	14116	39846
1308	14128	39837
1309	14141	39834
1310	14152	39824
1311	14165	39819
1312	14176	39807
1313	14188	39801
1314	14200	39793
1315	14211	39782
1316	14223	39776
1317	14234	39766
1318	14246	39759
1319	14260	39756
1320	14272	39748
1321	14281	39732
1322	14295	39731
1323	14310	39732
1324	14324	39729
1325	14338	39727
1326	14352	39725
1327	14366	39724
1328	14382	39727
1329	14395	39723
1330	14407	39714
1331	14419	39707
1332	14432	39702
1333	14445	39697
1334	14457	39691
1335	14470	39686
1336	14484	39683
1337	14499	39683
1338	14513	39681
1339	14525	39673
1340	14539	39670
1341	14551	39664
1342	14564	39660
1343	14576	39650
1344	14587	39639
1345	14595	39623
1346	14606	39613
1347	14617	39601
1348	14627	39588
1349	14641	39586
1350	14651	39573
1351	14663	39566
1352	14676	39561
1353	14690	39557
1354	14704	39555
1355	14717	39550
1356	14731	39548
1357	14746	39549
1358	14758	39541
1359	14769	39531
1360	14780	39520
1361	14793	39515
1362	14804	39504
1363	14816	39496
1364	14829	39491
1365	14841	39483
1366	14855	39479
1367	14868	39476
1368	14880	39467
1369	14890	39455
1370	14904	39452
1371	14917	39445
1372	14929	39438
1373	14940	39426
1374	14954	39425
1375	14968	39421
1376	14980	39413
1377	14992	39406
1378	15003	39396
1379	15015	39388
1380	15025	39374
1381	15037	39368
1382	15049	39359
1383	15062	39353
1384	15075	39347
1385	15086	39338
1386	15098	39330
1387	15111	39323
1388	15124	39318
1389	15137	39312
1390	15147	39301
1391	15157	39287
1392	15169	39278
1393	15178	39264
1394	15193	39263
1395	15209	39266
1396	15224	39264
1397	15239	39266
1398	15252	39259
1399	15265	39254
1400	15276	39244
1401	15290	39241
1402	15323	39285
1403	15345	39303
1404	15359	39301
1405	15373	39298
1406	15390	39302
1407	15405	39301
1408	15421	39302
1409	15435	39300
1410	15448	39294
1411	15460	39286
1412	15474	39283
1413	15489	39282
1414	15507	39290
1415	15524	39292
1416	15539	39293
1417	15556	39297
1418	15571	39295
1419	15587	39297
1420	15602	39298
1421	15615	39291
1422	15628	39285
1423	15646	39292
1424	15662	39294
1425	15678	39294
1426	15690	39286
1427	15705	39285
1428	15720	39285
1429	15735	39283
1430	15748	39278
1431	15764	39279
1432	15780	39281
1433	15796	39281
1434	15808	39274
1435	15824	39273
1436	15836	39265
1437	15852	39267
1438	15865	39262
1439	15879	39256
1440	15898	39265
1441	15917	39274
1442	15937	39286
1443	15955	39291
1444	15973	39297
1445	15987	39293
1446	16000	39289
1447	16016	39289
1448	16031	39287
1449	16044	39282
1450	16064	39291
1451	16075	39280
1452	16088	39275
1453	16136	39354
1454	16154	39359
1455	16169	39358
1456	16181	39349
1457	16196	39346
1458	16211	39345
1459	16227	39344
1460	16241	39341
1461	16254	39335
1462	16267	39329
1463	16280	39321
1464	16292	39313
1465	16306	39309
1466	16317	39298
1467	16330	39291
1468	16344	39286
1469	16356	39278
1470	16368	39268
1471	16380	39260
1472	16390	39245
1473	16400	39232
1474	16412	39224
1475	16426	39219
1476	16438	39208
1477	16450	39200
1478	16460	39187
1479	16475	39184
1480	16488	39178
1481	16498	39163
1482	16507	39149
1483	16518	39136
1484	16530	39128
1485	16544	39122
1486	16554	39108
1487	16566	39100
1488	16580	39095
1489	16591	39085
1490	16601	39071
1491	16613	39062
1492	16623	39046
1493	16635	39038
1494	16645	39025
1495	16656	39014
1496	16671	39010
1497	16681	38998
1498	16693	38987
1499	16705	38980
1500	16719	38973
1501	16733	38969
1502	16745	38961
1503	16756	38951
1504	16771	38946
1505	16783	38937
1506	16794	38927
1507	16808	38921
1508	16824	38923
1509	16839	38920
1510	16852	38912
1511	16867	38911
1512	16882	38909
1513	16895	38901
1514	16910	38899
1515	16923	38893
1516	16937	38888
1517	16947	38873
1518	16957	38859
1519	16966	38845
1520	16979	38837
1521	16994	38834
1522	17008	38830
1523	17018	38816
1524	17030	38807
1525	17043	38800
1526	17056	38792
1527	17070	38788
1528	17083	38781
1529	17094	38770
1530	17107	38762
1531	17117	38749
1532	17131	38743
1533	17144	38737
1534	17158	38731
1535	17169	38720
1536	17179	38707
1537	17190	38694
1538	17203	38688
1539	17217	38683
1540	17230	38675
1541	17245	38673
1542	17261	38673
1543	17276	38671
1544	17289	38663
1545	17301	38654
1546	17314	38647
1547	17328	38641
1548	17344	38642
1549	17375	38674
1550	17390	38671
1551	17406	38671
1552	17418	38661
1553	17431	38655
1554	17447	38654
1555	17465	38657
1556	17481	38656
1557	17497	38656
1558	17514	38658
1559	17533	38664
1560	17556	38677
1561	17597	38732
1562	17620	38747
1563	17640	38754
1564	17656	38754
1565	17675	38760
1566	17691	38759
1567	17710	38764
1568	17727	38765
1569	17748	38775
1570	17772	38791
1571	17795	38806
1572	17810	38803
1573	17823	38795
1574	17839	38794
1575	17853	38788
1576	17865	38778
1577	17880	38774
1578	17893	38767
1579	17909	38765
1580	17924	38762
1581	17936	38753
1582	17951	38748
1583	17966	38746
1584	17980	38740
